City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,fale old settlement,-9.3852,-171.2468,27.78,75,18,3.85,TK,1723655993
276,ponta delgada,37.7333,-25.6667,27.4,69,20,2.57,PT,1723655994
277,sisimiut,66.9395,-53.6735,7.32,68,99,2.49,GL,1723655996
278,yuzhno-kurilsk,44.0306,145.8556,20.08,100,99,1.69,RU,1723655997
279,umea,63.8284,20.2597,17.96,82,0,3.09,SE,1723655999
280,nikolayevsk-on-amure,53.1406,140.73,16.42,86,0,0.98,RU,1723656000
281,abepura,-2.6333,140.5833,23.45,100,40,1.54,ID,1723656002
282,belmonte,-15.8631,-38.8828,23.87,82,88,5.69,BR,1723656003
283,deshnoke,27.8,73.35,29.47,75,100,4.47,IN,1723656004
284,mount pearl,47.5166,-52.7813,15.74,74,75,5.14,CA,1723656006
285,zhongxiang,31.1661,112.5831,24.91,85,0,2.77,CN,1723656007
286,inarajan village,13.2736,144.7484,27.08,80,100,5.62,GU,1723656009
287,lihue,21.9789,-159.3672,24.77,83,20,6.17,US,1723656010
288,ketchikan,55.3422,-131.6461,15.75,66,70,1.69,US,1723656012
289,kiunga,-6.1219,141.2906,22.79,99,100,0.5,PG,1723656013
290,qaryat suluq,31.6682,20.2521,30.67,43,0,7.96,LY,1723656014
291,cidreira,-30.1811,-50.2056,15.71,56,0,2.09,BR,1723656016
292,livingstone,-17.8419,25.8543,22.49,14,0,1.8,ZM,1723656017
293,kapuskasing,49.4169,-82.4331,27.05,54,0,2.57,CA,1723656019
294,silver city,32.7701,-108.2803,28.54,37,75,3.13,US,1723656020
295,itabira,-19.6192,-43.2269,23.95,40,52,3.07,BR,1723656022
296,kone,-21.0595,164.8658,17.54,91,0,2.4,NC,1723656023
297,nuku'alofa,-21.1333,-175.2,19.19,82,20,5.14,TO,1723656024
298,robore,-18.3333,-59.75,31.05,33,0,5.14,BO,1723656026
299,port-vila,-17.7338,168.3219,21.92,72,100,6.74,VU,1723656027
300,port blair,11.6667,92.75,26.02,94,75,1.03,IN,1723656029
301,ternate,0.8,127.4,25.66,82,24,2.06,ID,1723656030
302,kumamoto,32.7897,130.7417,24.99,94,0,1.03,JP,1723656032
303,egilsstadir,65.2653,-14.3948,13.95,72,75,5.66,IS,1723656033
304,zeya,53.75,127.2667,19.67,91,5,1.63,RU,1723656034
305,kuqa,41.7278,82.9364,29.7,25,98,2.24,CN,1723656036
306,skelleftea,64.7507,20.9528,20.56,85,0,3.09,SE,1723656037
307,taoudenni,22.6783,-3.9836,45.01,11,3,0.85,ML,1723656039
308,kenai,60.5544,-151.2583,10.03,90,0,1.54,US,1723656040
309,choele choel,-39.2667,-65.6833,18.0,33,100,4.25,AR,1723656041
310,kolonia,50.9333,6.95,23.19,85,0,2.57,DE,1723656043
311,pandan,14.0453,124.1694,27.38,84,100,2.93,PH,1723656044
312,fomboni,-12.28,43.7425,25.41,70,14,0.75,KM,1723656046
313,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,66,40,1.03,BR,1723656047
314,someshwar,13.5,75.0667,25.61,97,64,0.53,IN,1723656049
315,juan griego,11.0817,-63.9655,37.07,47,23,4.63,VE,1723656050
316,mao,39.8885,4.2658,29.31,39,0,3.6,ES,1723656051
317,prince rupert,54.3161,-130.3201,13.83,86,100,3.09,CA,1723656053
318,medeiros neto,-17.3739,-40.2206,25.21,54,100,4.14,BR,1723656054
319,sinabang,2.4803,96.3801,26.78,83,100,1.12,ID,1723656057
320,soto la marina,23.7667,-98.2167,32.74,49,83,3.61,MX,1723656059
321,viedma,-40.8135,-62.9967,16.85,41,96,2.53,AR,1723656060
322,kasaoka,34.5,133.5,28.1,73,1,1.67,JP,1723656061
323,lazaro cardenas,17.9583,-102.2,27.44,78,97,0.83,MX,1723656063
324,mebane,36.096,-79.267,30.11,59,75,1.54,US,1723656064
325,kalmunai,7.4167,81.8167,27.86,80,88,4.97,LK,1723656066
326,ola,59.5833,151.2833,8.83,73,100,4.91,RU,1723656068
327,barah,13.7,30.3667,30.11,51,100,2.28,SD,1723656071
328,mount gambier,-37.8333,140.7667,10.05,98,89,1.95,AU,1723656073
329,pokhara,28.2333,83.9833,21.85,88,100,1.94,NP,1723656074
330,pangoa,-12.1167,-73.0,29.91,40,4,1.98,PE,1723656076
331,sao vicente,-23.9631,-46.3919,27.93,64,81,2.37,BR,1723656077
332,coquimbo,-29.9533,-71.3436,13.85,86,100,1.03,CL,1723656078
333,pale,43.8161,18.5694,33.86,14,0,3.09,BA,1723656080
334,mansoa,12.0733,-15.3189,32.11,80,97,1.79,GW,1723656081
335,fukuecho,32.6881,128.8419,28.15,75,52,0.78,JP,1723656083
336,laela,-8.5667,32.05,22.47,36,28,0.98,TZ,1723656084
337,tukrah,32.5341,20.5791,28.66,66,0,4.86,LY,1723656086
338,alpena,45.0617,-83.4327,27.28,48,0,1.54,US,1723656087
339,plettenberg bay,-34.0527,23.3716,12.03,65,100,8.74,ZA,1723656088
340,buka,40.8108,69.1986,30.4,26,0,3.95,UZ,1723656090
341,shamli,29.45,77.3167,27.37,83,2,3.18,IN,1723656091
342,rabaul,-4.1967,152.1721,26.03,80,77,1.53,PG,1723656093
343,vila velha,-20.3297,-40.2925,22.97,79,20,5.66,BR,1723656094
344,shingu,33.7333,135.9833,24.73,91,7,1.96,JP,1723656095
345,juan de ayolas,-27.4,-56.9,22.39,39,0,2.97,PY,1723656097
346,kuusamo,65.9667,29.1833,21.02,56,0,2.06,FI,1723656098
347,gokwe,-18.2048,28.9349,19.69,13,0,1.09,ZW,1723656100
348,hornell,42.3279,-77.6611,26.55,60,5,3.58,US,1723656101
349,bontang,0.1333,117.5,25.11,89,27,3.3,ID,1723656103
350,new norfolk,-42.7826,147.0587,8.84,85,99,1.0,AU,1723656104
351,faya-largeau,17.9257,19.1043,35.73,38,16,3.41,TD,1723656105
352,palikir - national government center,6.9248,158.1611,28.58,74,50,5.26,FM,1723656107
353,borzya,50.3833,116.5167,18.83,57,5,1.67,RU,1723656108
354,guatire,10.4762,-66.5427,33.16,48,100,2.96,VE,1723656110
355,antanifotsy,-19.65,47.3167,11.06,90,1,1.42,MG,1723656111
356,kogalym,62.2654,74.4791,14.28,88,79,7.07,RU,1723656112
357,tapes,-30.6733,-51.3958,16.28,57,0,2.05,BR,1723656114
358,khromtau,50.2503,58.4347,17.13,54,5,4.05,KZ,1723656117
359,luganville,-15.5333,167.1667,24.02,76,92,6.48,VU,1723656118
360,calderitas,18.55,-88.25,31.06,74,40,4.12,MX,1723656120
